centre_id,centre_name,agency,village,mandal,district,latitude,longitude,capacity,status
PPC023,Shamirpet Procurement Centre 3,MEPMA,Shamirpet,Shamirpet,Medchal,17.582692,78.5525,300,LIMITED
PPC024,Shamirpet Procurement Centre 4,FPO,Shamirpet,Shamirpet,Medchal,17.582543,78.579588,300,ACTIVE
PPC025,Shamirpet Procurement Centre 5,MEPMA,Shamirpet,Shamirpet,Medchal,17.603863,78.571125,600,INACTIVE
PPC026,Ibrahimpatnam Procurement Centre 1,PACS,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,17.17662,78.578081,400,INACTIVE
PPC027,Ibrahimpatnam Procurement Centre 2,FPO,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,17.187184,78.575629,400,ACTIVE
PPC028,Ibrahimpatnam Procurement Centre 3,PACS,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,17.195959,78.559495,400,ACTIVE
PPC029,Ibrahimpatnam Procurement Centre 4,FPO,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,17.195006,78.562467,500,FULL
PPC030,Ibrahimpatnam Procurement Centre 5,PACS,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,17.201158,78.558786,400,LIMITED
PPC031,Shadnagar Procurement Centre 1,IKP,Shadnagar,Shadnagar,Rangareddy,17.057368,78.19333,400,INACTIVE
PPC032,Shadnagar Procurement Centre 2,FPO,Shadnagar,Shadnagar,Rangareddy,17.082195,78.200411,1000,INACTIVE
PPC033,Shadnagar Procurement Centre 3,MEPMA,Shadnagar,Shadnagar,Rangareddy,17.068205,78.216718,500,ACTIVE
PPC034,Shadnagar Procurement Centre 4,MEPMA,Shadnagar,Shadnagar,Rangareddy,17.063476,78.218676,600,ACTIVE
PPC035,Shadnagar Procurement Centre 5,PACS,Shadnagar,Shadnagar,Rangareddy,17.076126,78.215336,600,FULL
PPC036,Nalgonda Procurement Centre 1,FPO,Nalgonda,Nalgonda,Nalgonda,17.062923,79.273249,700,INACTIVE
PPC037,Nalgonda Procurement Centre 2,PACS,Nalgonda,Nalgonda,Nalgonda,17.054317,79.279404,1000,ACTIVE
PPC038,Nalgonda Procurement Centre 3,IKP,Nalgonda,Nalgonda,Nalgonda,17.035292,79.26378,1000,FULL
PPC039,Nalgonda Procurement Centre 4,PACS,Nalgonda,Nalgonda,Nalgonda,17.064095,79.275186,300,ACTIVE
PPC040,Nalgonda Procurement Centre 5,MEPMA,Nalgonda,Nalgonda,Nalgonda,17.03509,79.262446,300,ACTIVE
PPC041,Suryapet Procurement Centre 1,PACS,Suryapet,Suryapet,Suryapet,17.126368,79.623347,500,ACTIVE
PPC042,Suryapet Procurement Centre 2,FPO,Suryapet,Suryapet,Suryapet,17.141283,79.623806,300,ACTIVE
PPC043,Suryapet Procurement Centre 3,FPO,Suryapet,Suryapet,Suryapet,17.151415,79.623498,400,FULL
PPC044,Suryapet Procurement Centre 4,FPO,Suryapet,Suryapet,Suryapet,17.135383,79.627501,500,INACTIVE
PPC045,Suryapet Procurement Centre 5,PACS,Suryapet,Suryapet,Suryapet,17.129395,79.61584,300,ACTIVE
PPC046,Kodad Procurement Centre 1,PACS,Kodad,Kodad,Suryapet,16.995227,79.964607,700,ACTIVE
PPC047,Kodad Procurement Centre 2,PACS,Kodad,Kodad,Suryapet,16.994934,79.962854,700,ACTIVE
PPC048,Kodad Procurement Centre 3,PACS,Kodad,Kodad,Suryapet,16.999402,79.971514,600,ACTIVE
PPC049,Kodad Procurement Centre 4,FPO,Kodad,Kodad,Suryapet,17.006349,79.976863,600,FULL
PPC050,Kodad Procurement Centre 5,IKP,Kodad,Kodad,Suryapet,17.003832,79.953759,400,INACTIVE
