procurement_id,booking_id,quantity_submitted_quintals,quantity_accepted_quintals,price_per_quintal,amount_payable,payment_status
PRC000033,BKG000145,12.75,12.31,2500,30775.0,COMPLETED
PRC000034,BKG000146,0.89,0.85,2500,2125.0,PROCESSING
PRC000035,BKG000157,1.01,1.0,2300,2300.0,COMPLETED
PRC000036,BKG000158,33.17,32.41,2200,71302.0,COMPLETED
PRC000037,BKG000160,11.54,10.97,2500,27425.0,COMPLETED
PRC000038,BKG000163,3.35,3.31,2500,8275.0,PROCESSING
PRC000039,BKG000177,20.68,19.78,2400,47472.0,PROCESSING
PRC000040,BKG000182,11.07,10.72,2400,25728.0,PROCESSING
PRC000041,BKG000184,16.57,15.8,2300,36340.0,PROCESSING
PRC000042,BKG000188,2.08,1.98,2300,4554.0,PROCESSING
PRC000043,BKG000195,4.51,4.38,2200,9636.0,COMPLETED
PRC000044,BKG000196,15.46,15.01,2400,36024.0,FAILED
PRC000045,BKG000202,3.8,3.69,2200,8118.0,COMPLETED
PRC000046,BKG000204,2.27,2.17,2400,5208.0,COMPLETED
PRC000047,BKG000205,2.74,2.61,2300,6003.0,FAILED
PRC000048,BKG000207,43.42,41.96,2500,104900.0,FAILED
PRC000049,BKG000212,15.87,15.29,2500,38225.0,COMPLETED
PRC000050,BKG000214,2.7,2.66,2400,6384.0,COMPLETED
PRC000051,BKG000227,2.91,2.78,2400,6672.0,COMPLETED
PRC000052,BKG000230,34.35,33.63,2400,80712.0,COMPLETED
PRC000053,BKG000231,45.35,43.36,2200,95392.0,FAILED
PRC000054,BKG000238,4.85,4.76,2500,11900.0,COMPLETED
PRC000055,BKG000242,13.38,13.36,2400,32064.0,COMPLETED
PRC000056,BKG000247,1.84,1.8,2500,4500.0,COMPLETED
PRC000057,BKG000252,4.81,4.66,2200,10252.0,FAILED
PRC000058,BKG000255,1.98,1.9,2400,4560.0,FAILED
PRC000059,BKG000256,2.4,2.34,2500,5850.0,COMPLETED
PRC000060,BKG000258,0.88,0.86,2200,1892.0,COMPLETED
PRC000061,BKG000259,142.25,140.02,2200,308044.0,COMPLETED
PRC000062,BKG000261,2.4,2.4,2500,6000.0,COMPLETED
PRC000063,BKG000264,13.47,13.34,2200,29348.0,FAILED
PRC000064,BKG000267,11.2,10.79,2200,23738.0,PROCESSING
PRC000065,BKG000268,10.06,9.84,2300,22632.0,PROCESSING
PRC000066,BKG000272,3.79,3.71,2500,9275.0,COMPLETED
PRC000067,BKG000273,63.94,61.52,2300,141496.0,COMPLETED
PRC000068,BKG000274,36.3,35.74,2500,89350.0,COMPLETED
PRC000069,BKG000283,36.48,36.09,2300,83007.0,COMPLETED
PRC000070,BKG000291,2.22,2.17,2500,5425.0,COMPLETED
PRC000071,BKG000292,0.81,0.78,2300,1794.0,FAILED
PRC000072,BKG000294,4.91,4.89,2400,11736.0,COMPLETED
PRC000073,BKG000295,28.39,28.05,2500,70125.0,COMPLETED
PRC000074,BKG000296,21.96,21.27,2300,48921.0,COMPLETED
PRC000075,BKG000301,4.76,4.56,2500,11400.0,COMPLETED
PRC000076,BKG000304,2.46,2.41,2300,5543.0,COMPLETED
PRC000077,BKG000309,1.52,1.5,2400,3600.0,COMPLETED
PRC000078,BKG000311,4.82,4.59,2300,10557.0,COMPLETED
PRC000079,BKG000313,0.61,0.58,2200,1276.0,COMPLETED
PRC000080,BKG000322,2.26,2.22,2200,4884.0,PROCESSING
PRC000081,BKG000328,6.74,6.55,2300,15065.0,COMPLETED
PRC000082,BKG000332,14.54,14.37,2300,33051.0,FAILED
PRC000083,BKG000340,29.82,28.74,2300,66102.0,COMPLETED
PRC000084,BKG000348,6.67,6.66,2500,16650.0,PROCESSING
PRC000085,BKG000357,75.07,73.59,2300,169257.0,FAILED
PRC000086,BKG000360,3.04,2.89,2500,7225.0,COMPLETED
PRC000087,BKG000366,16.11,15.96,2200,35112.0,COMPLETED
PRC000088,BKG000374,22.69,22.51,2400,54024.0,COMPLETED
PRC000089,BKG000375,3.61,3.59,2200,7898.0,COMPLETED
PRC000090,BKG000377,1.3,1.26,2200,2772.0,COMPLETED
PRC000091,BKG000380,30.34,29.66,2300,68218.0,PROCESSING
PRC000092,BKG000382,12.57,11.96,2500,29900.0,COMPLETED
PRC000093,BKG000385,5.64,5.64,2300,12972.0,COMPLETED
PRC000094,BKG000387,20.29,19.46,2500,48650.0,COMPLETED
PRC000095,BKG000391,9.58,9.54,2500,23850.0,COMPLETED
PRC000096,BKG000393,20.57,20.02,2300,46046.0,COMPLETED
PRC000097,BKG000398,46.09,45.95,2500,114875.0,FAILED
PRC000098,BKG000403,3.27,3.22,2200,7084.0,COMPLETED
PRC000099,BKG000404,105.18,102.03,2400,244872.0,COMPLETED
PRC000100,BKG000405,53.79,51.18,2500,127950.0,PROCESSING
PRC000101,BKG000406,3.11,2.99,2400,7176.0,PROCESSING
PRC000102,BKG000407,12.71,12.23,2200,26906.0,COMPLETED
PRC000103,BKG000411,5.34,5.24,2300,12052.0,FAILED
PRC000104,BKG000413,0.81,0.79,2400,1896.0,COMPLETED
PRC000105,BKG000414,16.85,16.54,2200,36388.0,PROCESSING
PRC000106,BKG000417,1.35,1.33,2400,3192.0,PROCESSING
PRC000107,BKG000420,4.61,4.41,2500,11025.0,COMPLETED
PRC000108,BKG000421,7.23,6.88,2500,17200.0,COMPLETED
PRC000109,BKG000429,1.42,1.4,2400,3360.0,FAILED
PRC000110,BKG000433,100.06,95.89,2500,239725.0,COMPLETED
PRC000111,BKG000434,0.6,0.57,2200,1254.0,COMPLETED
PRC000112,BKG000435,4.42,4.38,2200,9636.0,PROCESSING
PRC000113,BKG000436,16.42,15.8,2500,39500.0,COMPLETED
PRC000114,BKG000439,7.75,7.67,2400,18408.0,COMPLETED
PRC000115,BKG000447,1.13,1.12,2400,2688.0,COMPLETED
PRC000116,BKG000450,4.23,4.17,2400,10008.0,FAILED
PRC000117,BKG000452,43.92,42.71,2400,102504.0,FAILED
PRC000118,BKG000459,8.7,8.48,2300,19504.0,PROCESSING
PRC000119,BKG000462,156.17,152.44,2300,350612.0,FAILED
PRC000120,BKG000465,43.04,42.39,2500,105975.0,FAILED
PRC000121,BKG000468,58.67,58.2,2400,139680.0,FAILED
PRC000122,BKG000469,4.39,4.34,2400,10416.0,FAILED
PRC000123,BKG000470,53.88,53.65,2500,134125.0,PROCESSING
PRC000124,BKG000473,19.14,18.75,2400,45000.0,COMPLETED
PRC000125,BKG000474,26.54,25.23,2400,60552.0,FAILED
PRC000126,BKG000475,10.49,10.33,2300,23759.0,COMPLETED
PRC000127,BKG000476,0.71,0.7,2500,1750.0,COMPLETED
PRC000128,BKG000480,37.03,35.58,2300,81834.0,COMPLETED
PRC000129,BKG000487,5.63,5.62,2400,13488.0,COMPLETED
PRC000130,BKG000490,0.93,0.89,2200,1958.0,COMPLETED
PRC000131,BKG000495,16.27,16.04,2200,35288.0,PROCESSING
PRC000132,BKG000498,3.12,3.02,2400,7248.0,FAILED
