cultivation_id,passbook_number,season,cultivated_area_acres,crop,quantity_produced_quintals
CUL000070,PPB000057,2026-KHARIF,2.68,Maize,41.59
CUL000071,PPB000058,2026-KHARIF,2.43,Cotton,14.08
CUL000072,PPB000059,2026-KHARIF,3.7,Cotton,25.9
CUL000073,PPB000059,2026-KHARIF,4.88,Soybean,40.49
CUL000074,PPB000060,2026-KHARIF,4.06,Maize,96.3
CUL000075,PPB000061,2026-KHARIF,3.6,Paddy,82.9
CUL000076,PPB000062,2026-KHARIF,1.19,Soybean,8.26
CUL000077,PPB000063,2026-KHARIF,3.98,Cotton,21.76
CUL000078,PPB000064,2026-KHARIF,3.44,Cotton,15.58
CUL000079,PPB000064,2026-KHARIF,1.81,Cotton,11.24
CUL000080,PPB000065,2026-KHARIF,2.01,Paddy,58.56
CUL000081,PPB000065,2026-KHARIF,3.57,Paddy,100.16
CUL000082,PPB000066,2026-KHARIF,6.7,Paddy,135.54
CUL000083,PPB000067,2026-KHARIF,4.72,Paddy,105.87
CUL000084,PPB000068,2026-KHARIF,1.96,Maize,40.61
CUL000085,PPB000069,2026-KHARIF,6.22,Paddy,125.0
CUL000086,PPB000070,2026-KHARIF,2.49,Cotton,18.63
CUL000087,PPB000071,2026-KHARIF,1.23,Soybean,10.03
CUL000088,PPB000072,2026-KHARIF,5.77,Paddy,150.75
CUL000089,PPB000073,2026-KHARIF,7.05,Maize,170.47
CUL000090,PPB000074,2026-KHARIF,1.01,Paddy,20.24
CUL000091,PPB000075,2026-KHARIF,1.22,Paddy,29.12
CUL000092,PPB000076,2026-KHARIF,2.74,Maize,60.51
CUL000093,PPB000077,2026-KHARIF,2.81,Maize,55.33
CUL000094,PPB000077,2026-KHARIF,1.24,Groundnut,13.88
CUL000095,PPB000078,2026-KHARIF,3.3,Groundnut,19.93
CUL000096,PPB000079,2026-KHARIF,8.77,Cotton,40.13
CUL000097,PPB000080,2026-KHARIF,2.22,Paddy,48.58
CUL000098,PPB000081,2026-KHARIF,5.39,Maize,89.6
CUL000099,PPB000082,2026-KHARIF,5.2,Groundnut,51.19
CUL000100,PPB000083,2026-KHARIF,2.09,Cotton,14.51
CUL000101,PPB000084,2026-KHARIF,3.85,Cotton,19.73
CUL000102,PPB000085,2026-KHARIF,0.95,Paddy,23.69
CUL000103,PPB000086,2026-KHARIF,3.77,Soybean,20.36
CUL000104,PPB000087,2026-KHARIF,0.55,Paddy,12.75
CUL000105,PPB000087,2026-KHARIF,3.35,Cotton,22.75
CUL000106,PPB000088,2026-KHARIF,3.64,Cotton,21.12
CUL000107,PPB000089,2026-KHARIF,2.61,Cotton,18.41
CUL000108,PPB000089,2026-KHARIF,1.47,Maize,25.4
CUL000109,PPB000090,2026-KHARIF,0.9,Cotton,5.08
CUL000110,PPB000091,2026-KHARIF,3.2,Soybean,23.42
CUL000111,PPB000091,2026-KHARIF,5.11,Soybean,29.45
CUL000112,PPB000092,2026-KHARIF,1.88,Paddy,54.02
CUL000113,PPB000092,2026-KHARIF,1.62,Soybean,16.12
CUL000114,PPB000093,2026-KHARIF,2.88,Paddy,70.11
CUL000115,PPB000094,2026-KHARIF,1.11,Maize,19.06
CUL000116,PPB000095,2026-KHARIF,2.03,Maize,35.95
CUL000117,PPB000096,2026-KHARIF,0.59,Soybean,3.42
CUL000118,PPB000097,2026-KHARIF,1.82,Soybean,14.62
CUL000119,PPB000098,2026-KHARIF,4.24,Maize,84.26
CUL000120,PPB000098,2026-KHARIF,3.44,Cotton,26.99
CUL000121,PPB000099,2026-KHARIF,4.96,Soybean,39.87
CUL000122,PPB000100,2026-KHARIF,1.87,Soybean,16.86
CUL000123,PPB000101,2026-KHARIF,2.79,Cotton,18.21
CUL000124,PPB000101,2026-KHARIF,1.13,Cotton,7.61
CUL000125,PPB000102,2026-KHARIF,5.27,Groundnut,35.71
CUL000126,PPB000102,2026-KHARIF,1.21,Cotton,8.75
CUL000127,PPB000103,2026-KHARIF,1.93,Soybean,10.26
CUL000128,PPB000104,2026-KHARIF,3.09,Maize,52.82
CUL000129,PPB000104,2026-KHARIF,1.78,Maize,42.9
CUL000130,PPB000105,2026-KHARIF,4.01,Soybean,35.83
CUL000131,PPB000106,2026-KHARIF,2.57,Cotton,17.46
CUL000132,PPB000107,2026-KHARIF,6.18,Groundnut,73.09
CUL000133,PPB000108,2026-KHARIF,2.35,Groundnut,17.44
CUL000134,PPB000109,2026-KHARIF,5.0,Soybean,47.26
CUL000135,PPB000110,2026-KHARIF,4.27,Paddy,101.8
CUL000136,PPB000111,2026-KHARIF,2.91,Paddy,73.6
CUL000137,PPB000112,2026-KHARIF,3.24,Cotton,13.83
CUL000138,PPB000112,2026-KHARIF,1.01,Maize,23.14
CUL000139,PPB000113,2026-KHARIF,1.16,Cotton,8.57
CUL000140,PPB000114,2026-KHARIF,2.57,Maize,54.82
CUL000141,PPB000115,2026-KHARIF,1.93,Groundnut,17.17
CUL000142,PPB000116,2026-KHARIF,3.38,Cotton,20.07
CUL000143,PPB000117,2026-KHARIF,5.62,Groundnut,40.47
CUL000144,PPB000118,2026-KHARIF,2.05,Groundnut,19.74
CUL000145,PPB000119,2026-KHARIF,1.39,Maize,28.13
CUL000146,PPB000120,2026-KHARIF,2.17,Soybean,15.44
CUL000147,PPB000121,2026-KHARIF,2.93,Maize,48.17
CUL000148,PPB000122,2026-KHARIF,0.61,Soybean,3.29
CUL000149,PPB000123,2026-KHARIF,7.26,Maize,141.33
CUL000150,PPB000123,2026-KHARIF,1.06,Maize,22.19
CUL000151,PPB000124,2026-KHARIF,1.52,Cotton,8.85
CUL000152,PPB000125,2026-KHARIF,2.28,Soybean,14.65
CUL000153,PPB000126,2026-KHARIF,3.23,Paddy,68.6
CUL000154,PPB000127,2026-KHARIF,2.49,Cotton,11.37
CUL000155,PPB000128,2026-KHARIF,2.37,Soybean,19.51
CUL000156,PPB000128,2026-KHARIF,0.91,Cotton,5.87
CUL000157,PPB000129,2026-KHARIF,1.36,Cotton,8.52
CUL000158,PPB000130,2026-KHARIF,3.04,Paddy,82.77
CUL000159,PPB000131,2026-KHARIF,1.08,Paddy,23.11
CUL000160,PPB000132,2026-KHARIF,3.18,Maize,50.62
CUL000161,PPB000133,2026-KHARIF,9.41,Cotton,40.69
CUL000162,PPB000134,2026-KHARIF,1.48,Soybean,10.36
CUL000163,PPB000135,2026-KHARIF,0.8,Soybean,6.78
CUL000164,PPB000136,2026-KHARIF,4.96,Soybean,28.74
CUL000165,PPB000137,2026-KHARIF,2.16,Paddy,57.13
CUL000166,PPB000138,2026-KHARIF,0.59,Maize,11.67
CUL000167,PPB000139,2026-KHARIF,2.22,Maize,54.39
CUL000168,PPB000140,2026-KHARIF,2.91,Cotton,16.15
CUL000169,PPB000141,2026-KHARIF,0.58,Cotton,3.46
CUL000170,PPB000141,2026-KHARIF,2.94,Soybean,22.79
CUL000171,PPB000142,2026-KHARIF,1.16,Paddy,25.62
CUL000172,PPB000143,2026-KHARIF,0.56,Paddy,14.46
CUL000173,PPB000143,2026-KHARIF,3.6,Maize,68.3
CUL000174,PPB000144,2026-KHARIF,2.6,Groundnut,19.99
CUL000175,PPB000145,2026-KHARIF,2.0,Maize,46.7
CUL000176,PPB000146,2026-KHARIF,1.66,Cotton,12.6
CUL000177,PPB000147,2026-KHARIF,1.53,Cotton,8.88
CUL000178,PPB000147,2026-KHARIF,3.68,Groundnut,39.08
CUL000179,PPB000148,2026-KHARIF,0.61,Paddy,14.56
CUL000180,PPB000149,2026-KHARIF,3.08,Maize,52.36
CUL000181,PPB000150,2026-KHARIF,1.57,Maize,37.47
CUL000182,PPB000151,2026-KHARIF,2.57,Paddy,68.05
CUL000183,PPB000152,2026-KHARIF,4.04,Cotton,19.66
CUL000184,PPB000153,2026-KHARIF,2.89,Maize,67.33
CUL000185,PPB000154,2026-KHARIF,2.28,Soybean,19.61
CUL000186,PPB000155,2026-KHARIF,5.01,Groundnut,52.72
CUL000187,PPB000156,2026-KHARIF,2.57,Groundnut,19.82
CUL000188,PPB000156,2026-KHARIF,2.22,Maize,35.02
CUL000189,PPB000157,2026-KHARIF,4.52,Paddy,118.39
CUL000190,PPB000158,2026-KHARIF,8.08,Paddy,186.12
CUL000191,PPB000159,2026-KHARIF,2.1,Maize,33.54
CUL000192,PPB000159,2026-KHARIF,0.54,Maize,13.34
CUL000193,PPB000160,2026-KHARIF,0.95,Soybean,7.85
CUL000194,PPB000161,2026-KHARIF,3.1,Paddy,71.36
CUL000195,PPB000162,2026-KHARIF,4.35,Maize,70.48
CUL000196,PPB000163,2026-KHARIF,3.92,Soybean,23.02
CUL000197,PPB000164,2026-KHARIF,0.73,Maize,14.27
CUL000198,PPB000165,2026-KHARIF,2.76,Groundnut,24.5
CUL000199,PPB000166,2026-KHARIF,1.96,Soybean,16.44
CUL000200,PPB000167,2026-KHARIF,0.81,Soybean,7.41
CUL000201,PPB000168,2026-KHARIF,1.0,Paddy,25.77
CUL000202,PPB000168,2026-KHARIF,0.58,Paddy,17.16
CUL000203,PPB000169,2026-KHARIF,2.5,Soybean,15.03
CUL000204,PPB000170,2026-KHARIF,0.52,Cotton,4.08
CUL000205,PPB000171,2026-KHARIF,1.41,Soybean,12.76
CUL000206,PPB000172,2026-KHARIF,6.61,Soybean,51.52
CUL000207,PPB000173,2026-KHARIF,2.69,Paddy,61.51
CUL000208,PPB000173,2026-KHARIF,0.51,Cotton,2.97
CUL000209,PPB000174,2026-KHARIF,2.63,Cotton,17.45
CUL000210,PPB000174,2026-KHARIF,0.98,Groundnut,9.06
CUL000211,PPB000175,2026-KHARIF,2.26,Cotton,12.72
CUL000212,PPB000176,2026-KHARIF,2.65,Cotton,18.73
CUL000213,PPB000176,2026-KHARIF,0.96,Soybean,8.04
CUL000214,PPB000177,2026-KHARIF,3.13,Soybean,17.0
CUL000215,PPB000177,2026-KHARIF,1.56,Maize,28.59
CUL000216,PPB000178,2026-KHARIF,3.13,Soybean,27.45
CUL000217,PPB000179,2026-KHARIF,1.63,Cotton,9.82
CUL000218,PPB000180,2026-KHARIF,5.88,Groundnut,57.6
CUL000219,PPB000181,2026-KHARIF,1.61,Groundnut,11.01
CUL000220,PPB000182,2026-KHARIF,2.17,Soybean,11.74
CUL000221,PPB000183,2026-KHARIF,3.8,Groundnut,35.2
CUL000222,PPB000183,2026-KHARIF,0.47,Groundnut,2.83
CUL000223,PPB000184,2026-KHARIF,3.4,Cotton,20.25
CUL000224,PPB000185,2026-KHARIF,7.25,Cotton,44.91
CUL000225,PPB000186,2026-KHARIF,5.46,Soybean,33.28
CUL000226,PPB000186,2026-KHARIF,1.91,Soybean,16.12
CUL000227,PPB000187,2026-KHARIF,1.13,Soybean,6.53
CUL000228,PPB000188,2026-KHARIF,5.96,Groundnut,64.37
CUL000229,PPB000189,2026-KHARIF,1.83,Paddy,49.32
CUL000230,PPB000189,2026-KHARIF,2.76,Soybean,17.98
CUL000231,PPB000190,2026-KHARIF,4.54,Paddy,134.0
CUL000232,PPB000191,2026-KHARIF,0.61,Paddy,14.0
CUL000233,PPB000192,2026-KHARIF,1.72,Paddy,35.55
CUL000234,PPB000193,2026-KHARIF,2.57,Soybean,24.99
CUL000235,PPB000194,2026-KHARIF,0.56,Groundnut,4.37
CUL000236,PPB000194,2026-KHARIF,2.49,Maize,44.91
CUL000237,PPB000195,2026-KHARIF,3.06,Groundnut,19.13
CUL000238,PPB000195,2026-KHARIF,0.98,Paddy,24.5
CUL000239,PPB000196,2026-KHARIF,0.55,Soybean,5.12
CUL000240,PPB000197,2026-KHARIF,2.01,Paddy,48.7
CUL000241,PPB000197,2026-KHARIF,0.49,Cotton,3.82
CUL000242,PPB000198,2026-KHARIF,4.66,Soybean,24.2
CUL000243,PPB000199,2026-KHARIF,2.85,Paddy,70.53
CUL000244,PPB000199,2026-KHARIF,0.64,Paddy,14.37
CUL000245,PPB000200,2026-KHARIF,2.96,Cotton,14.7
CUL000246,PPB000201,2026-KHARIF,0.73,Cotton,4.53
CUL000247,PPB000201,2026-KHARIF,4.7,Soybean,28.59
CUL000248,PPB000202,2026-KHARIF,1.01,Maize,21.14
CUL000249,PPB000202,2026-KHARIF,3.43,Paddy,100.69
CUL000250,PPB000203,2026-KHARIF,0.63,Maize,12.37
CUL000251,PPB000203,2026-KHARIF,1.33,Soybean,11.98
CUL000252,PPB000204,2026-KHARIF,2.34,Paddy,63.14
CUL000253,PPB000205,2026-KHARIF,2.1,Soybean,13.58
CUL000254,PPB000205,2026-KHARIF,1.66,Cotton,10.63
CUL000255,PPB000206,2026-KHARIF,0.65,Maize,16.05
CUL000256,PPB000206,2026-KHARIF,0.56,Soybean,4.16
CUL000257,PPB000207,2026-KHARIF,1.02,Maize,23.18
CUL000258,PPB000208,2026-KHARIF,1.01,Maize,18.58
CUL000259,PPB000209,2026-KHARIF,0.83,Soybean,7.5
CUL000260,PPB000209,2026-KHARIF,1.07,Paddy,22.49
CUL000261,PPB000210,2026-KHARIF,1.42,Groundnut,13.31
CUL000262,PPB000211,2026-KHARIF,2.15,Soybean,10.97
CUL000263,PPB000211,2026-KHARIF,1.12,Cotton,7.32
CUL000264,PPB000212,2026-KHARIF,2.63,Paddy,59.94
CUL000265,PPB000213,2026-KHARIF,1.13,Paddy,25.57
CUL000266,PPB000213,2026-KHARIF,8.33,Cotton,49.13
CUL000267,PPB000214,2026-KHARIF,2.71,Maize,43.93
CUL000268,PPB000215,2026-KHARIF,0.76,Maize,16.45
CUL000269,PPB000216,2026-KHARIF,2.28,Groundnut,18.79
CUL000270,PPB000216,2026-KHARIF,0.61,Paddy,18.12
CUL000271,PPB000217,2026-KHARIF,3.53,Paddy,90.36
CUL000272,PPB000218,2026-KHARIF,1.9,Cotton,8.61
CUL000273,PPB000219,2026-KHARIF,0.57,Paddy,14.31
CUL000274,PPB000219,2026-KHARIF,0.57,Groundnut,5.7
CUL000275,PPB000220,2026-KHARIF,2.84,Maize,51.67
CUL000276,PPB000221,2026-KHARIF,2.32,Maize,39.18
CUL000277,PPB000222,2026-KHARIF,1.99,Maize,31.82
CUL000278,PPB000222,2026-KHARIF,0.94,Groundnut,10.48
CUL000279,PPB000223,2026-KHARIF,0.88,Maize,20.75
CUL000280,PPB000224,2026-KHARIF,8.47,Paddy,209.86
CUL000281,PPB000225,2026-KHARIF,4.03,Maize,85.72
CUL000282,PPB000226,2026-KHARIF,2.68,Cotton,20.77
CUL000283,PPB000226,2026-KHARIF,0.43,Soybean,2.28
CUL000284,PPB000227,2026-KHARIF,0.89,Cotton,6.34
CUL000285,PPB000227,2026-KHARIF,0.73,Cotton,4.06
CUL000286,PPB000228,2026-KHARIF,5.67,Maize,112.23
CUL000287,PPB000229,2026-KHARIF,3.51,Maize,61.12
CUL000288,PPB000229,2026-KHARIF,1.1,Soybean,9.75
CUL000289,PPB000230,2026-KHARIF,0.92,Soybean,4.91
CUL000290,PPB000230,2026-KHARIF,0.48,Maize,10.91
CUL000291,PPB000231,2026-KHARIF,3.42,Soybean,21.9
CUL000292,PPB000232,2026-KHARIF,2.34,Groundnut,22.54
CUL000293,PPB000233,2026-KHARIF,7.04,Soybean,53.2
CUL000294,PPB000234,2026-KHARIF,3.05,Groundnut,31.02
CUL000295,PPB000234,2026-KHARIF,0.8,Groundnut,7.68
CUL000296,PPB000235,2026-KHARIF,2.99,Paddy,80.47
CUL000297,PPB000236,2026-KHARIF,4.14,Groundnut,40.52
CUL000298,PPB000237,2026-KHARIF,4.22,Cotton,31.65
CUL000299,PPB000238,2026-KHARIF,2.64,Cotton,20.14
CUL000300,PPB000239,2026-KHARIF,3.73,Cotton,17.78
CUL000301,PPB000240,2026-KHARIF,4.18,Soybean,26.72
CUL000302,PPB000241,2026-KHARIF,1.46,Maize,33.12
CUL000303,PPB000241,2026-KHARIF,0.48,Maize,11.05
CUL000304,PPB000242,2026-KHARIF,1.78,Cotton,12.19
CUL000305,PPB000243,2026-KHARIF,0.79,Soybean,6.25
CUL000306,PPB000244,2026-KHARIF,0.74,Cotton,4.85
CUL000307,PPB000245,2026-KHARIF,1.64,Cotton,7.76
CUL000308,PPB000246,2026-KHARIF,2.54,Soybean,18.85
CUL000309,PPB000246,2026-KHARIF,1.29,Groundnut,11.29
CUL000310,PPB000247,2026-KHARIF,1.86,Groundnut,11.96
CUL000311,PPB000248,2026-KHARIF,4.86,Groundnut,57.85
CUL000312,PPB000249,2026-KHARIF,0.67,Cotton,5.17
CUL000313,PPB000250,2026-KHARIF,5.77,Groundnut,54.82
CUL000314,PPB000250,2026-KHARIF,0.46,Groundnut,3.92
CUL000315,PPB000251,2026-KHARIF,0.98,Soybean,7.98
CUL000316,PPB000252,2026-KHARIF,5.39,Soybean,38.73
CUL000317,PPB000252,2026-KHARIF,1.38,Maize,23.2
CUL000318,PPB000253,2026-KHARIF,4.86,Paddy,99.19
CUL000319,PPB000254,2026-KHARIF,1.82,Groundnut,16.76
CUL000320,PPB000255,2026-KHARIF,3.27,Soybean,19.7
CUL000321,PPB000256,2026-KHARIF,0.52,Cotton,4.11
CUL000322,PPB000257,2026-KHARIF,2.64,Maize,45.68
CUL000323,PPB000258,2026-KHARIF,7.84,Cotton,57.73
CUL000324,PPB000259,2026-KHARIF,0.58,Groundnut,4.58
CUL000325,PPB000260,2026-KHARIF,1.59,Soybean,9.56
CUL000326,PPB000261,2026-KHARIF,8.67,Paddy,222.93
CUL000327,PPB000262,2026-KHARIF,5.62,Paddy,117.78
CUL000328,PPB000263,2026-KHARIF,2.13,Soybean,17.14
CUL000329,PPB000263,2026-KHARIF,5.19,Maize,92.35
CUL000330,PPB000264,2026-KHARIF,1.87,Cotton,10.74
CUL000331,PPB000265,2026-KHARIF,1.12,Maize,17.92
CUL000332,PPB000265,2026-KHARIF,0.52,Soybean,3.75
CUL000333,PPB000266,2026-KHARIF,2.92,Soybean,14.94
CUL000334,PPB000266,2026-KHARIF,0.45,Maize,10.72
CUL000335,PPB000267,2026-KHARIF,1.89,Groundnut,15.22
CUL000336,PPB000267,2026-KHARIF,0.53,Groundnut,5.14
CUL000337,PPB000268,2026-KHARIF,4.25,Cotton,19.46
CUL000338,PPB000268,2026-KHARIF,0.65,Soybean,3.8
CUL000339,PPB000269,2026-KHARIF,1.78,Cotton,9.64
CUL000340,PPB000269,2026-KHARIF,1.71,Cotton,12.99
CUL000341,PPB000270,2026-KHARIF,4.19,Soybean,41.08
CUL000342,PPB000270,2026-KHARIF,1.84,Groundnut,13.73
CUL000343,PPB000271,2026-KHARIF,4.59,Paddy,109.65
CUL000344,PPB000272,2026-KHARIF,1.41,Paddy,35.12
CUL000345,PPB000273,2026-KHARIF,5.82,Paddy,141.85
CUL000346,PPB000273,2026-KHARIF,0.51,Cotton,2.79
CUL000347,PPB000274,2026-KHARIF,3.73,Maize,64.12
CUL000348,PPB000275,2026-KHARIF,3.07,Soybean,20.95
CUL000349,PPB000276,2026-KHARIF,1.28,Maize,20.38
CUL000350,PPB000277,2026-KHARIF,2.66,Groundnut,30.83
CUL000351,PPB000278,2026-KHARIF,0.7,Maize,16.51
CUL000352,PPB000278,2026-KHARIF,0.68,Maize,11.76
CUL000353,PPB000279,2026-KHARIF,0.75,Paddy,16.74
CUL000354,PPB000280,2026-KHARIF,3.51,Groundnut,34.85
CUL000355,PPB000281,2026-KHARIF,0.81,Soybean,7.87
CUL000356,PPB000282,2026-KHARIF,1.64,Maize,34.48
CUL000357,PPB000283,2026-KHARIF,0.99,Paddy,22.46
CUL000358,PPB000284,2026-KHARIF,2.92,Soybean,22.68
CUL000359,PPB000285,2026-KHARIF,7.13,Maize,145.0
CUL000360,PPB000286,2026-KHARIF,1.67,Paddy,38.84
CUL000361,PPB000287,2026-KHARIF,7.07,Groundnut,76.92
CUL000362,PPB000288,2026-KHARIF,1.08,Maize,16.72
CUL000363,PPB000289,2026-KHARIF,8.05,Maize,190.12
CUL000364,PPB000290,2026-KHARIF,5.34,Cotton,31.24
CUL000365,PPB000291,2026-KHARIF,1.92,Paddy,52.1
CUL000366,PPB000291,2026-KHARIF,1.5,Groundnut,15.79
CUL000367,PPB000292,2026-KHARIF,7.13,Maize,106.99
CUL000368,PPB000293,2026-KHARIF,0.89,Soybean,7.46
CUL000369,PPB000293,2026-KHARIF,0.44,Groundnut,4.56
CUL000370,PPB000294,2026-KHARIF,8.03,Groundnut,65.23
CUL000371,PPB000294,2026-KHARIF,0.38,Soybean,3.33
CUL000372,PPB000295,2026-KHARIF,2.02,Soybean,11.38
CUL000373,PPB000295,2026-KHARIF,0.76,Paddy,19.76
CUL000374,PPB000296,2026-KHARIF,2.41,Paddy,62.77
CUL000375,PPB000297,2026-KHARIF,1.6,Cotton,8.79
CUL000376,PPB000297,2026-KHARIF,0.9,Maize,20.25
CUL000377,PPB000298,2026-KHARIF,3.81,Maize,74.29
CUL000378,PPB000299,2026-KHARIF,1.36,Cotton,7.6
CUL000379,PPB000300,2026-KHARIF,0.57,Maize,13.7
CUL000380,PPB000301,2026-KHARIF,4.35,Soybean,37.26
CUL000381,PPB000302,2026-KHARIF,1.0,Soybean,5.65
CUL000382,PPB000303,2026-KHARIF,0.71,Maize,17.02
CUL000383,PPB000304,2026-KHARIF,0.69,Paddy,16.22
CUL000384,PPB000305,2026-KHARIF,3.19,Soybean,17.2
CUL000385,PPB000305,2026-KHARIF,0.45,Groundnut,4.19
CUL000386,PPB000306,2026-KHARIF,9.02,Soybean,48.16
CUL000387,PPB000307,2026-KHARIF,1.9,Groundnut,13.29
CUL000388,PPB000308,2026-KHARIF,1.45,Groundnut,11.05
CUL000389,PPB000309,2026-KHARIF,2.39,Groundnut,19.66
CUL000390,PPB000310,2026-KHARIF,2.76,Groundnut,24.18
CUL000391,PPB000310,2026-KHARIF,2.26,Cotton,12.37
CUL000392,PPB000311,2026-KHARIF,4.63,Soybean,33.18
CUL000393,PPB000312,2026-KHARIF,6.18,Groundnut,64.1
CUL000394,PPB000313,2026-KHARIF,4.28,Maize,104.13
CUL000395,PPB000314,2026-KHARIF,2.7,Soybean,23.37
CUL000396,PPB000314,2026-KHARIF,3.02,Maize,49.59
CUL000397,PPB000315,2026-KHARIF,0.77,Soybean,4.91
CUL000398,PPB000316,2026-KHARIF,0.84,Cotton,3.4
CUL000399,PPB000317,2026-KHARIF,1.22,Groundnut,8.74
CUL000400,PPB000318,2026-KHARIF,1.52,Groundnut,11.45
CUL000401,PPB000319,2026-KHARIF,0.5,Paddy,10.82
CUL000402,PPB000320,2026-KHARIF,2.84,Soybean,25.38
CUL000403,PPB000321,2026-KHARIF,4.23,Maize,102.57
CUL000404,PPB000322,2026-KHARIF,0.95,Soybean,8.61
CUL000405,PPB000322,2026-KHARIF,1.54,Cotton,11.4
CUL000406,PPB000323,2026-KHARIF,3.4,Groundnut,38.54
CUL000407,PPB000324,2026-KHARIF,2.12,Cotton,12.95
CUL000408,PPB000325,2026-KHARIF,5.24,Maize,90.45
CUL000409,PPB000326,2026-KHARIF,2.13,Cotton,11.32
CUL000410,PPB000327,2026-KHARIF,4.27,Soybean,22.44
