booking_id,passbook_number,cultivation_id,crop,centre_id,slot_datetime,token_number,quantity_to_sell_quintals,queue_status
BKG000022,PPB000309,CUL000389,Groundnut,PPC019,2026-09-23 11:00:00,64,15.03,WAITING
BKG000023,PPB000028,CUL000034,Cotton,PPC013,2026-09-15 14:00:00,48,1.8,WAITING
BKG000024,PPB000083,CUL000100,Cotton,PPC003,2026-09-08 15:00:00,142,14.03,PROCESSING
BKG000025,PPB000829,CUL001028,Soybean,PPC048,2026-09-20 09:00:00,117,62.95,WAITING
BKG000026,PPB000387,CUL000487,Groundnut,PPC003,2026-09-26 15:00:00,39,4.3,WAITING
BKG000027,PPB000258,CUL000323,Cotton,PPC040,2026-09-20 11:00:00,46,6.43,PROCESSING
BKG000028,PPB000822,CUL001019,Soybean,PPC049,2026-09-04 12:00:00,45,2.29,WAITING
BKG000029,PPB000929,CUL001150,Soybean,PPC048,2026-09-09 10:00:00,143,6.95,WAITING
BKG000030,PPB000580,CUL000717,Groundnut,PPC002,2026-09-12 16:00:00,39,14.59,PROCESSING
BKG000031,PPB000123,CUL000149,Maize,PPC044,2026-09-11 15:00:00,98,25.31,PROCESSING
BKG000032,PPB000243,CUL000305,Soybean,PPC029,2026-09-29 16:00:00,79,2.19,WAITING
BKG000033,PPB000666,CUL000825,Groundnut,PPC038,2026-09-30 11:00:00,70,6.42,WAITING
BKG000034,PPB000992,CUL001229,Cotton,PPC011,2026-09-01 16:00:00,97,0.58,PROCESSING
BKG000035,PPB000429,CUL000539,Paddy,PPC050,2026-09-28 11:00:00,115,3.12,WAITING
BKG000036,PPB000203,CUL000250,Maize,PPC045,2026-09-29 10:00:00,110,3.56,COMPLETED
BKG000037,PPB000360,CUL000453,Soybean,PPC018,2026-09-06 12:00:00,122,17.88,COMPLETED
BKG000038,PPB000141,CUL000170,Soybean,PPC011,2026-09-30 11:00:00,5,18.22,WAITING
BKG000039,PPB000569,CUL000705,Maize,PPC026,2026-09-12 14:00:00,37,2.44,WAITING
BKG000040,PPB000913,CUL001132,Cotton,PPC011,2026-09-05 14:00:00,30,6.43,PROCESSING
BKG000041,PPB000858,CUL001066,Soybean,PPC050,2026-09-14 10:00:00,39,13.46,WAITING
BKG000042,PPB000021,CUL000025,Soybean,PPC043,2026-09-23 14:00:00,60,9.17,COMPLETED
BKG000043,PPB000600,CUL000745,Maize,PPC043,2026-09-24 16:00:00,105,12.13,WAITING
BKG000044,PPB000031,CUL000039,Paddy,PPC012,2026-09-02 12:00:00,20,9.79,COMPLETED
BKG000045,PPB000934,CUL001157,Groundnut,PPC040,2026-09-17 09:00:00,25,7.52,PROCESSING
BKG000046,PPB000750,CUL000931,Maize,PPC015,2026-09-23 16:00:00,17,6.98,WAITING
BKG000047,PPB000226,CUL000282,Cotton,PPC033,2026-09-22 09:00:00,138,15.69,PROCESSING
BKG000048,PPB000459,CUL000573,Paddy,PPC035,2026-09-16 12:00:00,3,29.94,PROCESSING
BKG000049,PPB000126,CUL000153,Paddy,PPC035,2026-09-02 12:00:00,79,18.35,PROCESSING
BKG000050,PPB000541,CUL000669,Maize,PPC033,2026-09-30 12:00:00,135,7.96,COMPLETED
BKG000051,PPB000768,CUL000954,Cotton,PPC021,2026-09-17 11:00:00,103,7.38,COMPLETED
BKG000052,PPB000112,CUL000137,Cotton,PPC026,2026-09-24 11:00:00,112,13.11,WAITING
BKG000053,PPB000616,CUL000763,Cotton,PPC008,2026-09-20 10:00:00,38,8.63,COMPLETED
BKG000054,PPB000988,CUL001224,Cotton,PPC003,2026-09-10 10:00:00,137,3.4,PROCESSING
BKG000055,PPB000870,CUL001080,Cotton,PPC033,2026-09-30 14:00:00,24,15.13,WAITING
BKG000056,PPB000288,CUL000362,Maize,PPC029,2026-09-05 16:00:00,72,14.49,COMPLETED
BKG000057,PPB000398,CUL000503,Paddy,PPC002,2026-09-24 15:00:00,1,18.49,WAITING
BKG000058,PPB000276,CUL000349,Maize,PPC048,2026-09-06 14:00:00,50,19.11,PROCESSING
BKG000059,PPB000054,CUL000067,Soybean,PPC007,2026-09-01 11:00:00,84,1.97,WAITING
BKG000060,PPB000778,CUL000965,Soybean,PPC034,2026-09-29 10:00:00,91,1.61,WAITING
BKG000061,PPB000969,CUL001204,Cotton,PPC040,2026-09-06 15:00:00,16,23.8,WAITING
BKG000062,PPB000914,CUL001134,Maize,PPC045,2026-09-14 10:00:00,112,4.65,COMPLETED
BKG000063,PPB000340,CUL000425,Paddy,PPC014,2026-09-07 16:00:00,105,65.74,COMPLETED
BKG000064,PPB000912,CUL001131,Cotton,PPC041,2026-10-01 14:00:00,46,4.12,COMPLETED
BKG000065,PPB000241,CUL000302,Maize,PPC016,2026-09-14 14:00:00,28,15.34,PROCESSING
BKG000066,PPB000506,CUL000627,Paddy,PPC030,2026-09-24 14:00:00,136,18.33,WAITING
BKG000067,PPB000548,CUL000677,Paddy,PPC049,2026-09-24 15:00:00,104,66.89,WAITING
BKG000068,PPB000791,CUL000979,Soybean,PPC007,2026-09-21 09:00:00,95,2.7,COMPLETED
BKG000069,PPB000048,CUL000061,Cotton,PPC005,2026-09-20 10:00:00,114,1.66,COMPLETED
BKG000070,PPB000946,CUL001172,Paddy,PPC033,2026-09-23 09:00:00,108,2.99,PROCESSING
BKG000071,PPB000410,CUL000516,Paddy,PPC032,2026-09-06 15:00:00,39,22.86,WAITING
BKG000072,PPB000365,CUL000460,Groundnut,PPC045,2026-10-01 16:00:00,137,3.49,COMPLETED
BKG000073,PPB000088,CUL000106,Cotton,PPC040,2026-09-28 11:00:00,36,16.25,WAITING
BKG000074,PPB000458,CUL000572,Paddy,PPC020,2026-09-20 14:00:00,88,25.0,WAITING
BKG000075,PPB000809,CUL001003,Cotton,PPC018,2026-09-22 12:00:00,114,4.27,WAITING
BKG000076,PPB000675,CUL000837,Maize,PPC038,2026-09-28 14:00:00,114,10.18,WAITING
BKG000077,PPB000938,CUL001161,Paddy,PPC010,2026-09-25 14:00:00,109,29.28,COMPLETED
BKG000078,PPB000993,CUL001230,Groundnut,PPC029,2026-09-19 14:00:00,125,0.88,COMPLETED
BKG000079,PPB000908,CUL001127,Groundnut,PPC044,2026-09-16 11:00:00,147,8.53,PROCESSING
BKG000080,PPB000819,CUL001016,Paddy,PPC005,2026-10-01 14:00:00,130,12.45,WAITING
BKG000081,PPB000154,CUL000185,Soybean,PPC030,2026-09-08 11:00:00,133,2.65,COMPLETED
BKG000082,PPB000224,CUL000280,Paddy,PPC047,2026-09-19 14:00:00,98,43.68,WAITING
BKG000083,PPB000349,CUL000437,Paddy,PPC035,2026-09-01 11:00:00,81,91.17,PROCESSING
BKG000084,PPB000239,CUL000300,Cotton,PPC021,2026-10-01 10:00:00,9,15.63,WAITING
BKG000085,PPB000590,CUL000731,Groundnut,PPC030,2026-09-02 12:00:00,75,6.14,COMPLETED
BKG000086,PPB000610,CUL000756,Soybean,PPC017,2026-09-12 14:00:00,57,5.43,WAITING
BKG000087,PPB000891,CUL001107,Maize,PPC043,2026-09-27 14:00:00,122,67.85,WAITING
BKG000088,PPB000424,CUL000533,Groundnut,PPC048,2026-09-04 14:00:00,107,5.03,PROCESSING
BKG000089,PPB000642,CUL000797,Soybean,PPC001,2026-09-02 09:00:00,12,8.12,WAITING
BKG000090,PPB000504,CUL000625,Groundnut,PPC049,2026-09-22 12:00:00,92,25.49,WAITING
BKG000091,PPB000649,CUL000804,Paddy,PPC007,2026-09-18 11:00:00,113,19.3,WAITING
BKG000092,PPB000363,CUL000457,Maize,PPC037,2026-09-02 14:00:00,5,33.96,COMPLETED
BKG000093,PPB000815,CUL001010,Paddy,PPC042,2026-09-26 09:00:00,29,5.2,WAITING
BKG000094,PPB000275,CUL000348,Soybean,PPC045,2026-09-04 09:00:00,70,8.11,WAITING
BKG000095,PPB000476,CUL000593,Paddy,PPC017,2026-09-05 14:00:00,101,7.73,WAITING
BKG000096,PPB000345,CUL000431,Maize,PPC022,2026-10-01 12:00:00,96,51.54,COMPLETED
BKG000097,PPB000217,CUL000271,Paddy,PPC025,2026-09-05 16:00:00,30,84.97,WAITING
BKG000098,PPB000603,CUL000749,Maize,PPC040,2026-09-20 12:00:00,36,21.11,COMPLETED
BKG000099,PPB000702,CUL000870,Soybean,PPC050,2026-09-06 10:00:00,32,23.63,WAITING
BKG000100,PPB000087,CUL000105,Cotton,PPC041,2026-09-21 15:00:00,113,5.75,PROCESSING
BKG000101,PPB000283,CUL000357,Paddy,PPC031,2026-09-29 12:00:00,139,11.46,PROCESSING
BKG000102,PPB000721,CUL000893,Maize,PPC021,2026-09-12 14:00:00,112,23.0,WAITING
BKG000103,PPB000497,CUL000618,Maize,PPC015,2026-09-18 10:00:00,2,4.62,PROCESSING
BKG000104,PPB000608,CUL000754,Soybean,PPC009,2026-09-10 11:00:00,56,34.24,PROCESSING
BKG000105,PPB000805,CUL000997,Maize,PPC012,2026-10-01 09:00:00,121,2.01,WAITING
BKG000106,PPB000425,CUL000534,Groundnut,PPC028,2026-09-25 11:00:00,89,6.48,WAITING
BKG000107,PPB000599,CUL000744,Groundnut,PPC021,2026-09-18 11:00:00,47,4.28,WAITING
BKG000108,PPB000427,CUL000536,Paddy,PPC023,2026-09-05 15:00:00,26,2.5,PROCESSING
BKG000109,PPB000935,CUL001158,Groundnut,PPC033,2026-09-11 12:00:00,22,2.31,PROCESSING
BKG000110,PPB000390,CUL000491,Groundnut,PPC022,2026-09-30 09:00:00,93,0.71,WAITING
BKG000111,PPB000621,CUL000770,Maize,PPC017,2026-09-15 12:00:00,69,47.54,PROCESSING
BKG000112,PPB000838,CUL001040,Soybean,PPC024,2026-09-21 10:00:00,37,1.77,PROCESSING
BKG000113,PPB000507,CUL000628,Soybean,PPC034,2026-09-24 15:00:00,29,2.02,PROCESSING
BKG000114,PPB000810,CUL001004,Groundnut,PPC038,2026-09-10 15:00:00,52,10.1,COMPLETED
BKG000115,PPB000987,CUL001223,Groundnut,PPC039,2026-09-07 09:00:00,60,2.72,PROCESSING
BKG000116,PPB000978,CUL001214,Cotton,PPC002,2026-09-08 10:00:00,136,14.69,WAITING
BKG000117,PPB000092,CUL000112,Paddy,PPC005,2026-09-23 10:00:00,134,4.95,WAITING
BKG000118,PPB000142,CUL000171,Paddy,PPC033,2026-09-16 14:00:00,143,24.02,WAITING
BKG000119,PPB000644,CUL000799,Cotton,PPC031,2026-09-18 12:00:00,3,13.54,WAITING
BKG000120,PPB000346,CUL000432,Soybean,PPC028,2026-09-06 11:00:00,81,25.7,WAITING
BKG000121,PPB000240,CUL000301,Soybean,PPC027,2026-09-11 16:00:00,84,18.63,WAITING
BKG000122,PPB000520,CUL000644,Soybean,PPC033,2026-09-02 09:00:00,92,19.08,WAITING
BKG000123,PPB000885,CUL001100,Maize,PPC013,2026-09-10 11:00:00,128,6.9,COMPLETED
BKG000124,PPB000836,CUL001038,Soybean,PPC025,2026-09-30 10:00:00,17,10.95,COMPLETED
BKG000125,PPB000545,CUL000673,Groundnut,PPC026,2026-09-05 14:00:00,97,18.49,PROCESSING
BKG000126,PPB000193,CUL000234,Soybean,PPC022,2026-09-02 14:00:00,10,6.92,WAITING
BKG000127,PPB000742,CUL000921,Maize,PPC037,2026-09-01 14:00:00,88,20.91,WAITING
BKG000128,PPB000446,CUL000559,Cotton,PPC019,2026-09-29 11:00:00,76,5.22,WAITING
BKG000129,PPB000436,CUL000546,Maize,PPC033,2026-09-25 14:00:00,118,27.52,PROCESSING
BKG000130,PPB000734,CUL000911,Cotton,PPC036,2026-09-30 11:00:00,85,4.54,COMPLETED
BKG000131,PPB000420,CUL000527,Paddy,PPC009,2026-10-01 14:00:00,14,27.33,WAITING
BKG000132,PPB000686,CUL000850,Maize,PPC030,2026-09-24 14:00:00,36,57.02,WAITING
BKG000133,PPB000932,CUL001154,Groundnut,PPC013,2026-09-21 14:00:00,21,2.63,COMPLETED
BKG000134,PPB000941,CUL001167,Maize,PPC022,2026-09-25 14:00:00,68,1.1,PROCESSING
BKG000135,PPB000211,CUL000263,Cotton,PPC018,2026-09-26 10:00:00,128,6.03,COMPLETED
BKG000136,PPB000080,CUL000097,Paddy,PPC007,2026-09-03 10:00:00,8,47.72,WAITING
BKG000137,PPB000501,CUL000622,Cotton,PPC035,2026-09-04 16:00:00,148,8.22,WAITING
BKG000138,PPB000860,CUL001068,Groundnut,PPC006,2026-09-09 11:00:00,6,10.6,WAITING
BKG000139,PPB000131,CUL000159,Paddy,PPC004,2026-09-12 11:00:00,144,11.08,WAITING
BKG000140,PPB000656,CUL000811,Paddy,PPC038,2026-09-07 10:00:00,23,187.2,PROCESSING
BKG000141,PPB000575,CUL000712,Paddy,PPC035,2026-09-25 09:00:00,4,29.03,COMPLETED
BKG000142,PPB000463,CUL000579,Maize,PPC044,2026-09-13 09:00:00,32,14.74,WAITING
BKG000143,PPB000971,CUL001206,Soybean,PPC042,2026-09-28 11:00:00,32,15.28,PROCESSING
BKG000144,PPB000194,CUL000236,Maize,PPC004,2026-09-23 14:00:00,137,2.38,PROCESSING
BKG000145,PPB000474,CUL000591,Paddy,PPC009,2026-09-10 10:00:00,53,12.75,COMPLETED
BKG000146,PPB000661,CUL000820,Groundnut,PPC022,2026-09-30 15:00:00,53,0.89,COMPLETED
BKG000147,PPB000683,CUL000846,Maize,PPC009,2026-09-30 12:00:00,56,28.14,WAITING
BKG000148,PPB000098,CUL000119,Maize,PPC039,2026-09-13 14:00:00,54,43.19,WAITING
BKG000149,PPB000202,CUL000248,Maize,PPC040,2026-09-02 15:00:00,86,5.49,WAITING
BKG000150,PPB000348,CUL000435,Cotton,PPC049,2026-09-27 12:00:00,94,7.74,WAITING
BKG000151,PPB000456,CUL000570,Cotton,PPC016,2026-09-03 15:00:00,99,6.36,PROCESSING
BKG000152,PPB000828,CUL001027,Groundnut,PPC032,2026-09-19 10:00:00,89,10.88,PROCESSING
BKG000153,PPB000427,CUL000537,Cotton,PPC026,2026-10-01 15:00:00,35,3.73,WAITING
BKG000154,PPB000723,CUL000896,Groundnut,PPC030,2026-09-01 16:00:00,140,8.7,WAITING
BKG000155,PPB000773,CUL000959,Maize,PPC042,2026-09-13 12:00:00,88,15.53,WAITING
BKG000156,PPB000441,CUL000552,Soybean,PPC006,2026-09-13 16:00:00,66,3.72,PROCESSING
BKG000157,PPB000530,CUL000656,Cotton,PPC007,2026-09-20 15:00:00,83,1.01,COMPLETED
BKG000158,PPB000173,CUL000207,Paddy,PPC041,2026-09-30 11:00:00,68,33.17,COMPLETED
BKG000159,PPB000183,CUL000221,Groundnut,PPC003,2026-09-07 15:00:00,35,33.93,WAITING
BKG000160,PPB000451,CUL000565,Groundnut,PPC001,2026-09-09 10:00:00,108,11.54,COMPLETED
BKG000161,PPB000687,CUL000851,Maize,PPC033,2026-09-28 09:00:00,67,8.06,PROCESSING
BKG000162,PPB000305,CUL000385,Groundnut,PPC034,2026-09-25 14:00:00,82,2.17,WAITING
BKG000163,PPB000036,CUL000046,Cotton,PPC003,2026-09-14 12:00:00,67,3.35,COMPLETED
BKG000164,PPB000496,CUL000617,Paddy,PPC033,2026-09-15 16:00:00,82,209.06,PROCESSING
BKG000165,PPB000670,CUL000831,Maize,PPC046,2026-09-08 16:00:00,138,4.16,PROCESSING
BKG000166,PPB000744,CUL000923,Groundnut,PPC032,2026-09-04 12:00:00,51,5.11,PROCESSING
BKG000167,PPB000270,CUL000342,Groundnut,PPC036,2026-09-04 16:00:00,99,11.16,WAITING
BKG000168,PPB000692,CUL000858,Groundnut,PPC050,2026-09-27 09:00:00,79,7.41,WAITING
BKG000169,PPB000444,CUL000557,Maize,PPC031,2026-09-15 15:00:00,132,10.13,PROCESSING
BKG000170,PPB000200,CUL000245,Cotton,PPC031,2026-09-15 09:00:00,25,4.53,PROCESSING
BKG000171,PPB000225,CUL000281,Maize,PPC041,2026-09-28 12:00:00,48,16.95,WAITING
BKG000172,PPB000137,CUL000165,Paddy,PPC017,2026-09-26 10:00:00,68,8.05,WAITING
BKG000173,PPB000430,CUL000540,Paddy,PPC009,2026-09-01 11:00:00,17,79.43,PROCESSING
BKG000174,PPB000391,CUL000492,Maize,PPC046,2026-09-09 09:00:00,41,19.56,WAITING
BKG000175,PPB000351,CUL000439,Cotton,PPC050,2026-09-08 16:00:00,16,12.72,WAITING
BKG000176,PPB000542,CUL000670,Maize,PPC020,2026-09-04 15:00:00,37,35.31,WAITING
BKG000177,PPB000587,CUL000727,Paddy,PPC030,2026-09-01 14:00:00,39,20.68,COMPLETED
BKG000178,PPB000146,CUL000176,Cotton,PPC037,2026-09-14 10:00:00,46,12.39,WAITING
BKG000179,PPB000864,CUL001073,Groundnut,PPC032,2026-09-27 11:00:00,48,2.41,WAITING
BKG000180,PPB000634,CUL000786,Maize,PPC045,2026-09-21 15:00:00,45,2.63,WAITING
BKG000181,PPB000422,CUL000530,Maize,PPC035,2026-09-27 14:00:00,10,3.57,WAITING
BKG000182,PPB000660,CUL000817,Groundnut,PPC028,2026-09-04 15:00:00,56,11.07,COMPLETED
BKG000183,PPB000182,CUL000220,Soybean,PPC035,2026-09-13 12:00:00,15,0.63,WAITING
BKG000184,PPB000638,CUL000792,Soybean,PPC016,2026-09-13 16:00:00,35,16.57,COMPLETED
BKG000185,PPB000328,CUL000411,Cotton,PPC035,2026-09-19 09:00:00,87,1.81,WAITING
BKG000186,PPB000494,CUL000614,Groundnut,PPC021,2026-09-01 09:00:00,127,6.15,WAITING
BKG000187,PPB000136,CUL000164,Soybean,PPC037,2026-10-01 09:00:00,119,27.48,WAITING
BKG000188,PPB000800,CUL000989,Maize,PPC049,2026-09-25 09:00:00,44,2.08,COMPLETED
BKG000189,PPB000028,CUL000033,Soybean,PPC048,2026-09-17 12:00:00,100,9.17,WAITING
BKG000190,PPB000626,CUL000776,Paddy,PPC008,2026-09-01 16:00:00,81,10.51,PROCESSING
BKG000191,PPB000438,CUL000548,Cotton,PPC008,2026-09-16 09:00:00,141,8.25,WAITING
BKG000192,PPB000199,CUL000243,Paddy,PPC030,2026-09-09 11:00:00,105,58.92,WAITING
BKG000193,PPB000667,CUL000827,Groundnut,PPC009,2026-09-06 11:00:00,24,1.82,WAITING
BKG000194,PPB000269,CUL000340,Cotton,PPC022,2026-09-06 10:00:00,22,0.69,PROCESSING
BKG000195,PPB000928,CUL001149,Cotton,PPC029,2026-09-26 16:00:00,47,4.51,COMPLETED
BKG000196,PPB000369,CUL000466,Paddy,PPC014,2026-09-22 10:00:00,91,15.46,COMPLETED
BKG000197,PPB000980,CUL001216,Cotton,PPC009,2026-09-16 12:00:00,120,4.3,WAITING
BKG000198,PPB000628,CUL000779,Groundnut,PPC002,2026-09-22 10:00:00,89,15.47,PROCESSING
BKG000199,PPB000599,CUL000743,Maize,PPC023,2026-09-04 12:00:00,34,18.39,WAITING
BKG000200,PPB000030,CUL000037,Groundnut,PPC035,2026-09-19 16:00:00,44,41.64,WAITING
BKG000201,PPB000268,CUL000338,Soybean,PPC026,2026-09-25 15:00:00,138,2.28,PROCESSING
BKG000202,PPB000005,CUL000007,Groundnut,PPC036,2026-09-14 16:00:00,33,3.8,COMPLETED
BKG000203,PPB000798,CUL000987,Cotton,PPC004,2026-09-30 09:00:00,80,12.15,PROCESSING
BKG000204,PPB000538,CUL000665,Groundnut,PPC033,2026-09-24 10:00:00,143,2.27,COMPLETED
BKG000205,PPB000786,CUL000973,Cotton,PPC037,2026-09-05 09:00:00,77,2.74,COMPLETED
BKG000206,PPB000565,CUL000698,Paddy,PPC047,2026-09-25 14:00:00,101,112.43,WAITING
BKG000207,PPB000998,CUL001237,Paddy,PPC018,2026-09-18 11:00:00,70,43.42,COMPLETED
BKG000208,PPB000703,CUL000871,Paddy,PPC003,2026-09-17 10:00:00,58,36.52,WAITING
BKG000209,PPB000339,CUL000424,Paddy,PPC028,2026-09-06 10:00:00,44,4.86,WAITING
BKG000210,PPB000547,CUL000676,Maize,PPC048,2026-09-05 16:00:00,92,6.26,WAITING
BKG000211,PPB000516,CUL000640,Paddy,PPC014,2026-09-25 10:00:00,16,0.53,WAITING
BKG000212,PPB000638,CUL000791,Paddy,PPC019,2026-09-24 15:00:00,117,15.87,COMPLETED
BKG000213,PPB000591,CUL000732,Cotton,PPC001,2026-09-01 14:00:00,99,6.21,WAITING
BKG000214,PPB000322,CUL000405,Cotton,PPC030,2026-09-24 16:00:00,12,2.7,COMPLETED
BKG000215,PPB000537,CUL000664,Maize,PPC047,2026-09-11 11:00:00,141,0.64,WAITING
BKG000216,PPB000718,CUL000888,Groundnut,PPC017,2026-09-13 10:00:00,13,7.12,WAITING
BKG000217,PPB000826,CUL001024,Groundnut,PPC016,2026-09-14 09:00:00,63,17.19,WAITING
BKG000218,PPB000797,CUL000986,Cotton,PPC007,2026-09-17 09:00:00,24,0.66,PROCESSING
BKG000219,PPB000267,CUL000336,Groundnut,PPC022,2026-09-17 10:00:00,39,3.72,PROCESSING
BKG000220,PPB000708,CUL000876,Maize,PPC043,2026-09-01 09:00:00,53,12.98,PROCESSING
BKG000221,PPB000487,CUL000607,Maize,PPC018,2026-09-14 12:00:00,115,13.02,WAITING
BKG000222,PPB000362,CUL000455,Cotton,PPC037,2026-09-20 14:00:00,73,2.67,PROCESSING
BKG000223,PPB000521,CUL000645,Soybean,PPC028,2026-09-15 10:00:00,25,35.22,WAITING
BKG000224,PPB000776,CUL000962,Paddy,PPC047,2026-09-01 16:00:00,139,56.56,WAITING
BKG000225,PPB000792,CUL000980,Cotton,PPC050,2026-09-10 09:00:00,101,5.84,WAITING
BKG000226,PPB000902,CUL001120,Groundnut,PPC005,2026-09-16 11:00:00,35,8.73,PROCESSING
BKG000227,PPB000596,CUL000739,Groundnut,PPC023,2026-09-21 10:00:00,80,2.91,COMPLETED
BKG000228,PPB000878,CUL001090,Groundnut,PPC002,2026-09-01 11:00:00,41,13.41,WAITING
BKG000229,PPB000352,CUL000440,Maize,PPC008,2026-09-22 12:00:00,46,2.19,WAITING
BKG000230,PPB000874,CUL001086,Maize,PPC002,2026-09-10 15:00:00,30,34.35,COMPLETED
BKG000231,PPB000973,CUL001208,Paddy,PPC015,2026-09-02 11:00:00,105,45.35,COMPLETED
BKG000232,PPB000597,CUL000741,Cotton,PPC006,2026-09-24 15:00:00,52,2.55,WAITING
BKG000233,PPB000546,CUL000675,Groundnut,PPC006,2026-09-05 09:00:00,137,0.84,PROCESSING
BKG000234,PPB000431,CUL000541,Cotton,PPC048,2026-09-14 12:00:00,58,0.96,PROCESSING
BKG000235,PPB000067,CUL000083,Paddy,PPC047,2026-09-02 11:00:00,37,33.38,WAITING
BKG000236,PPB000388,CUL000488,Groundnut,PPC015,2026-09-28 15:00:00,99,8.9,PROCESSING
BKG000237,PPB000861,CUL001069,Paddy,PPC024,2026-09-16 15:00:00,80,52.5,WAITING
BKG000238,PPB000393,CUL000494,Soybean,PPC017,2026-09-08 11:00:00,22,4.85,COMPLETED
BKG000239,PPB000461,CUL000576,Maize,PPC035,2026-09-06 10:00:00,26,35.03,PROCESSING
BKG000240,PPB000089,CUL000108,Maize,PPC012,2026-09-13 12:00:00,131,17.14,WAITING
BKG000241,PPB000061,CUL000075,Paddy,PPC046,2026-09-26 12:00:00,103,70.32,PROCESSING
BKG000242,PPB000784,CUL000971,Paddy,PPC040,2026-09-29 12:00:00,140,13.38,COMPLETED
BKG000243,PPB000187,CUL000227,Soybean,PPC018,2026-09-26 14:00:00,122,3.58,PROCESSING
BKG000244,PPB000885,CUL001099,Paddy,PPC043,2026-09-06 14:00:00,54,25.77,WAITING
BKG000245,PPB000761,CUL000946,Cotton,PPC027,2026-09-30 09:00:00,129,0.6,PROCESSING
BKG000246,PPB000390,CUL000490,Groundnut,PPC010,2026-09-05 10:00:00,70,19.48,PROCESSING
BKG000247,PPB000213,CUL000265,Paddy,PPC047,2026-09-14 15:00:00,141,1.84,COMPLETED
BKG000248,PPB000156,CUL000188,Maize,PPC028,2026-09-27 11:00:00,42,27.79,PROCESSING
BKG000249,PPB000443,CUL000556,Cotton,PPC012,2026-09-01 12:00:00,73,2.98,PROCESSING
BKG000250,PPB000954,CUL001183,Paddy,PPC035,2026-09-18 09:00:00,119,96.25,WAITING
BKG000251,PPB000757,CUL000940,Paddy,PPC015,2026-09-11 15:00:00,129,14.12,PROCESSING
BKG000252,PPB000586,CUL000726,Groundnut,PPC027,2026-09-18 09:00:00,104,4.81,COMPLETED
BKG000253,PPB000780,CUL000967,Groundnut,PPC002,2026-09-12 16:00:00,26,11.22,WAITING
BKG000254,PPB000317,CUL000399,Groundnut,PPC043,2026-09-24 11:00:00,48,3.06,WAITING
BKG000255,PPB000897,CUL001114,Soybean,PPC040,2026-09-24 14:00:00,2,1.98,COMPLETED
BKG000256,PPB000077,CUL000094,Groundnut,PPC046,2026-09-24 15:00:00,14,2.4,COMPLETED
BKG000257,PPB000920,CUL001141,Paddy,PPC038,2026-09-20 14:00:00,21,26.61,WAITING
BKG000258,PPB000450,CUL000564,Groundnut,PPC001,2026-09-07 11:00:00,30,0.88,COMPLETED
BKG000259,PPB000289,CUL000363,Maize,PPC038,2026-09-27 12:00:00,12,142.25,COMPLETED
BKG000260,PPB000386,CUL000486,Paddy,PPC010,2026-09-25 11:00:00,130,97.59,WAITING
BKG000261,PPB000295,CUL000373,Paddy,PPC042,2026-09-10 16:00:00,135,2.4,COMPLETED
